Title="K1"
Variables = X Y V
Zone T="K1" i = 10 , j = 10,  k = 1
         0          0 0.00000
         0        500 0.00000
         0       1000 0.00000
         0       1500 0.00000
         0       2000 0.00000
         0       2500 0.00000
         0       3000 0.00000
         0       3500 0.00000
         0       4000 0.00000
         0       4500 0.00000
       500          0 7.14462
       500        500 7.12958
       500       1000 7.08745
       500       1500 6.97680
       500       2000 6.65382
       500       2500 6.95587
       500       3000 7.04908
       500       3500 7.07931
       500       4000 7.08847
       500       4500 7.08847
      1000          0 13.22797
      1000        500 13.21038
      1000       1000 13.16860
      1000       1500 13.09288
      1000       2000 12.99416
      1000       2500 13.04843
      1000       3000 13.08786
      1000       3500 13.10571
      1000       4000 13.11182
      1000       4500 13.11182
      1500          0 18.34200
      1500        500 18.32833
      1500       1000 18.29608
      1500       1500 18.24235
      1500       2000 18.18361
      1500       2500 18.16720
      1500       3000 18.16228
      1500       3500 18.15877
      1500       4000 18.15643
      1500       4500 18.15643
      2000          0 22.54963
      2000        500 22.54435
      2000       1000 22.52383
      2000       1500 22.47464
      2000       2000 22.40739
      2000       2500 22.35339
      2000       3000 22.31575
      2000       3500 22.29191
      2000       4000 22.28024
      2000       4500 22.28024
      2500          0 35.37445
      2500        500 35.43450
      2500       1000 35.50368
      2500       1500 35.43076
      2500       2000 35.21783
      2500       2500 35.01718
      2500       3000 34.87117
      2500       3500 34.77989
      2500       4000 34.73641
      2500       4500 34.73641
      3000          0 51.72443
      3000        500 51.93935
      3000       1000 52.29716
      3000       1500 52.18238
      3000       2000 51.58610
      3000       2500 51.10373
      3000       3000 50.77883
      3000       3500 50.58278
      3000       4000 50.49083
      3000       4500 50.49083
      3500          0 62.14493
      3500        500 62.57378
      3500       1000 63.79018
      3500       1500 63.64518
      3500       2000 62.12188
      3500       2500 61.33559
      3500       3000 60.87165
      3500       3500 60.60193
      3500       4000 60.47666
      3500       4500 60.47666
      4000          0 67.13130
      4000        500 67.41737
      4000       1000 67.85636
      4000       1500 67.69539
      4000       2000 66.91742
      4000       2500 66.24147
      4000       3000 65.76560
      4000       3500 65.47167
      4000       4000 65.33233
      4000       4500 65.33233
      4500          0 67.13130
      4500        500 67.41737
      4500       1000 67.85636
      4500       1500 67.69539
      4500       2000 66.91742
      4500       2500 66.24147
      4500       3000 65.76560
      4500       3500 65.47167
      4500       4000 65.33233
      4500       4500 65.33233
