Title="K1"
Variables = X Y V
Zone T="K1" i = 10 , j = 10,  k = 1
         0          0 0.07000
         0        500 0.07000
         0       1000 0.07000
         0       1500 0.07000
         0       2000 0.07000
         0       2500 0.07000
         0       3000 0.07000
         0       3500 0.07000
         0       4000 0.07000
         0       4500 0.07000
       500          0 0.07000
       500        500 0.07000
       500       1000 0.07000
       500       1500 0.07000
       500       2000 0.07000
       500       2500 0.07000
       500       3000 0.07000
       500       3500 0.07000
       500       4000 0.07000
       500       4500 0.07000
      1000          0 0.07000
      1000        500 0.07000
      1000       1000 0.07000
      1000       1500 0.07000
      1000       2000 0.07000
      1000       2500 0.07000
      1000       3000 0.07000
      1000       3500 0.07000
      1000       4000 0.07000
      1000       4500 0.07000
      1500          0 0.07000
      1500        500 0.07000
      1500       1000 0.07000
      1500       1500 0.07000
      1500       2000 0.07000
      1500       2500 0.07000
      1500       3000 0.07000
      1500       3500 0.07000
      1500       4000 0.07000
      1500       4500 0.07000
      2000          0 0.07000
      2000        500 0.07000
      2000       1000 0.07000
      2000       1500 0.07000
      2000       2000 0.07000
      2000       2500 0.07000
      2000       3000 0.07000
      2000       3500 0.07000
      2000       4000 0.07000
      2000       4500 0.07000
      2500          0 0.01000
      2500        500 0.01000
      2500       1000 0.01000
      2500       1500 0.01000
      2500       2000 0.01000
      2500       2500 0.01000
      2500       3000 0.01000
      2500       3500 0.01000
      2500       4000 0.01000
      2500       4500 0.01000
      3000          0 0.01000
      3000        500 0.01000
      3000       1000 0.01000
      3000       1500 0.01000
      3000       2000 0.01000
      3000       2500 0.01000
      3000       3000 0.01000
      3000       3500 0.01000
      3000       4000 0.01000
      3000       4500 0.01000
      3500          0 0.01000
      3500        500 0.01000
      3500       1000 0.01000
      3500       1500 0.01000
      3500       2000 0.01000
      3500       2500 0.01000
      3500       3000 0.01000
      3500       3500 0.01000
      3500       4000 0.01000
      3500       4500 0.01000
      4000          0 0.01000
      4000        500 0.01000
      4000       1000 0.01000
      4000       1500 0.01000
      4000       2000 0.01000
      4000       2500 0.01000
      4000       3000 0.01000
      4000       3500 0.01000
      4000       4000 0.01000
      4000       4500 0.01000
      4500          0 0.01000
      4500        500 0.01000
      4500       1000 0.01000
      4500       1500 0.01000
      4500       2000 0.01000
      4500       2500 0.01000
      4500       3000 0.01000
      4500       3500 0.01000
      4500       4000 0.01000
      4500       4500 0.01000
