 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 6.    Time:  20:18: 6
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    2      0.04     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    3      0.10     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    4      0.16     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    5      0.23     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    6      0.31     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    7      0.41     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    8      0.51     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
    9      0.62     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   10      0.75     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   11      0.88     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   12      1.02     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   13      1.18     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   14      1.34     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   15      1.51     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   16      1.70     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   17      1.89     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   18      2.09     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   19      2.31     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   20      2.53     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   21      2.76     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   22      3.01     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   23      3.26     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   24      3.53     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   25      3.80     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   26      4.08     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   27      4.38     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   28      4.68     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   29      5.00     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   30      5.32     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   31      5.66     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   32      6.00     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
