 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 6.    Time:  20:18: 6
 Units: L = cm   , T = hours, M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      48.5000  0.10000E-03  0.00000E+00  0.10025E-03  0.00000E+00 -0.10513E-01  0.50000E-04  0.00000E+00  0.50034E-04  0.00000E+00 -0.52562E-02 -0.19487E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38396E+02  0.00000E+00  0.50034E-04      4  0.00000E+00      0.000
      49.0000  0.10000E-03  0.00000E+00  0.10023E-03  0.00000E+00 -0.10514E-01  0.10000E-03  0.00000E+00  0.10017E-03  0.00000E+00 -0.10513E-01 -0.19654E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38391E+02  0.00000E+00  0.10017E-03      7  0.00000E+00      0.000
      49.5000  0.00000E+00  0.00000E+00 -0.11776E-05  0.00000E+00 -0.10514E-01  0.10000E-03  0.00000E+00  0.10003E-03  0.00000E+00 -0.15770E-01 -0.19776E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38386E+02  0.00000E+00  0.10033E-03      9  0.00000E+00      0.000
      50.0000  0.00000E+00  0.00000E+00 -0.87919E-07  0.00000E+00 -0.10514E-01  0.10000E-03  0.00000E+00  0.99987E-04  0.00000E+00 -0.21027E-01 -0.19877E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38381E+02  0.00000E+00  0.10033E-03     10  0.00000E+00      0.000
      50.5000  0.00000E+00  0.00000E+00  0.14642E-05  0.00000E+00 -0.10514E-01  0.10000E-03  0.00000E+00  0.10072E-03  0.00000E+00 -0.26284E-01 -0.19969E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38375E+02  0.00000E+00  0.10106E-03     11  0.00000E+00      0.000
      51.0000  0.00000E+00  0.00000E+00  0.97426E-07  0.00000E+00 -0.10514E-01  0.10000E-03  0.00000E+00  0.10077E-03  0.00000E+00 -0.31540E-01 -0.20051E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38370E+02  0.00000E+00  0.10111E-03     12  0.00000E+00      0.000
      51.5000  0.00000E+00  0.00000E+00 -0.96449E-06  0.00000E+00 -0.10514E-01  0.10000E-03  0.00000E+00  0.10029E-03  0.00000E+00 -0.36797E-01 -0.20128E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38365E+02  0.00000E+00  0.10111E-03     13  0.00000E+00      0.000
      52.0000  0.00000E+00  0.00000E+00  0.15580E-05  0.00000E+00 -0.10514E-01  0.10000E-03  0.00000E+00  0.10106E-03  0.00000E+00 -0.42054E-01 -0.20199E+03  0.00000E+00 -0.19102E+03  0.00000E+00  0.00000E+00  0.38360E+02  0.00000E+00  0.10188E-03     14  0.00000E+00      0.000
